Designator,Comment,Footprint,LCSC Part Number
C1-7,10uF,0603_C,C96446
C8-14,2.2uF,0603_C,C23630
C15-22,100nF,0402_C,C1525
C23-25,22nF,0402_C,C1532
C26-27,2.2nF,0805_C,C28260
C28,1nF,0402_C,C161523
FB1,GZ2012D601TF Ferrite,0805_C,C1017
J2,SM04B-SRSS-TB(LF)(SN),-,C160404
R1-8,47Kohm 0402,0402_R,C25792
R9,3Kohm 0603,0603_R,C4211
R10,10Kohm 0402,0402_R,C25744
R12-16,22ohm 0402,0402_R,C25092
R17-19,470ohm 0402,0402_R,C25117
U1,CS8416-CZZR,TSSOP-28,C11163
U2,PCM5101APWR,TSSOP-20,C2667024
U3,SD6210A,SOT-23-6,C250809
U4-5,XC6206P332MR,SOT-23-3L,C5446
U6,MAX809TEUR+T,SOT-23,C16711
